timestamp,solar_mwh,wind_mwh,lng_mwh,bio_mwh,smp,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,renewable_mwh,demand_mwh,smp_lag_24h,smp_lag_48h,smp_lag_168h,renewable_lag_24h,renewable_lag_48h,renewable_lag_168h,demand_lag_24h,demand_lag_48h,demand_lag_168h
2025-12-10 00:00:00,0.000432,0.780736,212.156042,199.829896,79.56,6.5,79,1.7,0.0,0.781168,686.4,73.38,77.28,78.95,3.290112,3.638707,6.880711000000001,681.9,645.1,653.7
2025-12-10 01:00:00,0.000432,0.397586,170.645118,201.289536,73.36,6.2,79,2.2,0.0,0.398018,647.3,73.38,68.97,73.27,3.441962,3.330208,5.64389,644.7,607.5,616.5
2025-12-10 02:00:00,0.000416,0.453092,167.234928,201.576536,73.36,5.8,79,3.5,0.0,0.453508,624.0,73.38,68.97,73.27,3.820588,4.221436000000001,5.970833000000001,618.4,583.9,592.8
2025-12-10 03:00:00,0.00044,0.352948,167.114164,201.466832,73.36,6.5,72,4.0,0.0,0.353388,605.9,73.38,68.97,73.27,3.512222,5.295351,7.246596,604.0,571.3,580.4
2025-12-10 04:00:00,0.000432,0.289627,167.345668,201.458656,73.36,6.7,67,5.0,0.0,0.290059,606.2,73.38,68.97,73.27,2.849631,4.3678230000000005,8.36639,603.1,576.8,579.0
2025-12-10 05:00:00,0.000424,0.215287,167.348454,201.4502,73.36,7.2,63,5.5,0.0,0.215711,624.5,73.38,71.33,73.27,2.891254,4.772071,8.650193,621.0,595.5,597.9
2025-12-10 06:00:00,0.000392,0.191824,176.690346,200.406584,123.95,7.0,60,5.4,0.0,0.192216,669.0,76.6,72.79,73.27,2.979152,4.759051,8.601384999999999,666.9,638.5,641.4
2025-12-10 07:00:00,1.357922,0.072,203.288806,207.384912,98.32,7.1,52,5.4,0.0,1.429922,734.1,93.64,79.56,107.38,5.55818,6.764132999999999,8.448672,725.9,699.7,710.7
2025-12-10 08:00:00,31.568148,0.0378,194.795342,205.136064,98.89,7.5,44,5.5,10.0,31.605948,749.9,115.99,120.85,112.89,34.253297,38.558775,12.070119,746.7,722.6,779.1
2025-12-10 09:00:00,104.048548,0.0162,166.122138,168.270256,122.96,9.8,51,6.0,127.0,104.064748,712.6,123.39,117.93,112.82,114.4458,113.337013,30.973295,693.4,685.2,819.5
2025-12-10 10:00:00,161.679359,0.05454,121.96576,143.755584,115.22,11.9,44,8.1,290.0,161.733899,692.4,115.84,93.36,112.84,177.01639,165.138498,73.248819,657.1,662.3,779.0
2025-12-10 11:00:00,195.278441,0.05976,76.22874,137.40048,115.21,13.3,42,8.8,436.0,195.338201,657.8,110.99,112.78,109.38,211.047877,189.617934,146.291676,623.3,632.0,720.0
2025-12-10 12:00:00,205.7383,0.20364,57.83064,97.170696,119.27,14.3,42,9.4,525.0,205.94194,605.9,91.23,96.9,108.33,222.338867,215.587474,134.64852299999998,596.1,596.7,716.5
2025-12-10 13:00:00,193.464499,0.27464,67.27665,97.270152,94.06,14.8,44,10.1,535.0,193.739139,610.7,93.64,112.78,111.98,211.289758,205.356871,109.677155,605.8,609.7,749.5
2025-12-10 14:00:00,155.586659,0.203779,89.68344,141.09452,113.64,15.0,46,10.7,472.0,155.790438,641.3,95.0,120.73,112.84,176.922786,169.653392,70.02685,633.7,636.8,784.7
2025-12-10 15:00:00,74.988239,0.14062,131.495448,168.38472,94.06,15.0,44,6.4,370.0,75.12885899999999,702.3,93.64,98.24,123.62,112.282563,103.718124,48.355259,663.4,695.4,802.0
2025-12-10 16:00:00,19.846795,0.135221,175.844452,253.468208,125.19,14.7,46,4.4,250.0,19.982016,756.1,114.67,120.73,112.84,33.958941,36.273557,25.81428,756.7,764.1,848.9
2025-12-10 17:00:00,1.752298,0.057664,278.770716,218.657376,137.43,12.8,62,0.9,94.0,1.809962,794.3,114.67,121.55,112.84,4.546814,7.410238,8.658511,826.5,825.4,888.8
2025-12-10 18:00:00,1.944784,0.109216,284.46551,218.849232,93.37,10.1,70,2.2,5.0,2.0540000000000003,804.8,114.67,121.67,112.84,4.326929,5.654025,7.330168,841.7,838.4,876.5
2025-12-10 19:00:00,3.005052,0.485914,264.06282,222.969264,93.41,9.9,67,4.0,0.0,3.490966,794.1,114.67,121.15,112.84,5.277583,6.742589000000001,7.086133,829.5,829.8,846.3
2025-12-10 20:00:00,2.808084,0.753328,249.76784,224.210896,77.81,10.7,64,4.6,0.0,3.561412,769.3,106.73,120.62,112.84,4.928748000000001,6.811275999999999,8.813175,808.2,807.0,812.5
2025-12-10 21:00:00,2.03996,0.826999,238.346318,205.188648,125.75,11.1,63,5.6,0.0,2.8669590000000005,740.8,76.26,96.9,107.38,3.984798000000001,5.817572,7.379981999999999,778.5,778.1,779.5
2025-12-10 22:00:00,0.102676,1.057885,192.274278,205.128,100.42,11.1,68,4.5,0.0,1.160561,729.9,76.26,104.84,87.02,1.670998,4.074672,7.150976,756.7,759.7,769.5
2025-12-10 23:00:00,0.0004,0.527785,158.554452,205.185064,95.44,11.1,71,3.1,0.0,0.5281849999999999,701.2,123.84,104.84,107.25,0.939283,3.871145,5.401083000000001,734.9,731.9,741.2
