timestamp,solar_mwh,wind_mwh,lng_mwh,bio_mwh,smp,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,renewable_mwh,demand_mwh
2023-01-01 00:00:00,0.0,67.32,,,,3.9,81,9.3,0.0,67.32,831.297
2023-01-01 01:00:00,0.16,70.73,,,,4.2,80,11.5,0.0,70.89,791.669
2023-01-01 02:00:00,0.14,53.37,,,,4.7,77,14.5,0.0,53.51,764.382
2023-01-01 03:00:00,0.14,65.0,,,,5.6,69,15.6,0.0,65.14,747.951
2023-01-01 04:00:00,0.06,74.76,,,,6.4,62,17.4,0.0,74.82000000000001,743.485
2023-01-01 05:00:00,0.0,82.33,,,,6.7,61,16.8,0.0,82.33,750.985
2023-01-01 06:00:00,0.17,95.28,,,,6.9,61,16.9,0.0,95.45,764.083
2023-01-01 07:00:00,0.64,100.23,,,,6.9,61,15.5,0.0,100.87,774.067
2023-01-01 08:00:00,24.7,97.66,,,,7.0,62,15.4,3.0,122.36,749.461
2023-01-01 09:00:00,58.61,95.81,,,,7.5,66,15.3,88.0,154.42000000000002,686.345
2023-01-01 10:00:00,101.97,69.53,,,,8.5,60,18.3,271.0,171.5,656.076
2023-01-01 11:00:00,87.86,47.28,,,,9.0,60,17.6,372.0,135.14,650.551
2023-01-01 12:00:00,130.66,43.09,,,,8.9,64,16.4,437.0,173.75,612.025
2023-01-01 13:00:00,153.3,62.51,,,,8.4,70,14.9,398.0,215.81,591.142
2023-01-01 14:00:00,119.2,75.9,,,,8.1,69,14.8,361.0,195.10000000000002,614.664
2023-01-01 15:00:00,79.6,99.26,,,,7.8,66,16.1,277.0,178.86,641.672
2023-01-01 16:00:00,26.88,110.77,,,,7.5,65,17.1,215.0,137.65,719.686
2023-01-01 17:00:00,6.37,117.36,,,,6.8,66,16.0,109.0,123.73,824.284
2023-01-01 18:00:00,4.8,127.0,,,,6.3,71,15.5,11.0,131.8,867.002
2023-01-01 19:00:00,4.69,153.24,,,,6.1,72,15.1,0.0,157.93,867.485
2023-01-01 20:00:00,3.07,175.29,,,,5.6,77,16.6,0.0,178.35999999999999,846.129
2023-01-01 21:00:00,0.83,169.93,,,,6.6,76,18.2,0.0,170.76000000000002,821.286
