거래일,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-01-01,161.650104,161.630728,161.540624,161.52948,161.525224,161.553728,163.464448,183.352288,161.707392,161.699328,133.804608,106.850856,106.821232,106.805496,142.29208,161.612808,171.862376,167.79588,161.618576,161.574616,161.620144,161.607544,161.588168,161.600208
2025-01-02,161.614712,161.562352,161.521192,161.535024,161.54068,161.562688,161.659232,163.535736,187.44712,162.486296,161.687344,161.695744,146.376888,112.524216,153.343232,161.52416,161.500976,162.244432,161.644392,161.59164,161.676088,161.622664,161.59332,161.603064
2025-01-03,161.633528,161.614992,161.609504,161.580328,161.64008,161.744352,161.78176,161.764064,161.531496,161.712544,161.775656,141.665832,106.840664,106.61196,111.840736,161.328272,164.817016,162.08444,161.645344,161.562128,161.68152,161.631736,161.749616,161.77
2025-01-04,161.770336,161.738024,161.695408,161.651168,161.660576,161.599984,161.568456,161.625016,161.777952,161.65856,161.679504,161.270536,148.992704,156.860256,161.582288,161.575736,161.58268,165.817792,163.399432,168.348432,173.171488,164.39612,164.133704,161.716408
2025-01-05,161.716968,161.74732,161.705656,161.693224,161.680792,161.630616,161.596624,161.603568,162.20792,161.79604,161.615832,161.62664,161.742056,161.808136,161.71764,161.752192,161.614544,161.5404,161.521696,161.550424,161.709912,161.674016,161.769608,161.805224
2025-01-06,161.693784,161.585536,161.630952,161.633976,161.74032,161.774592,161.817824,161.715736,161.617904,161.689472,161.629664,161.771736,161.794304,123.970392,107.155216,151.333224,161.602336,178.863048,191.616824,172.599728,161.551992,161.60844,161.582232,161.565264
2025-01-07,161.586208,161.559832,161.589792,161.636384,161.619584,161.62244,161.648032,161.660632,161.6482,161.69524,161.695072,161.260008,143.893008,151.187736,167.610128,161.848288,173.413296,161.7084,169.179136,177.388288,177.259264,157.3306,147.879704,147.898968
2025-01-08,158.8594,161.71148,161.641144,161.659176,161.648648,161.632576,161.657608,175.560392,242.795112,200.391296,161.650496,172.620896,163.554552,161.791336,161.757736,161.769608,161.798392,182.569856,182.62832,192.217536,192.1556,171.6778,161.669536,161.646576
2025-01-09,161.658504,161.673568,161.708624,161.7322,161.724136,161.702464,161.709016,161.583856,161.660744,161.748608,161.713328,146.074656,108.225768,121.999584,161.778848,175.199304,177.691528,186.261544,213.63888,219.484496,213.043712,172.296656,161.649264,161.63196
2025-01-10,161.669368,161.661192,161.652568,161.69552,161.692496,161.702408,161.673568,162.83484,201.594288,179.258912,170.26016,161.766192,161.726208,161.653296,161.66472,161.652288,161.633024,161.749056,161.737296,161.638176,161.65604,161.638344,161.648648,161.64596
2025-01-11,161.61852,161.591416,161.618464,161.59668,161.649432,161.706216,161.749896,161.749728,161.610344,161.754936,161.671384,161.624176,161.61348,161.625296,161.642824,161.6342,178.840592,206.700592,210.91756,177.236192,164.119984,161.66976,161.71708,161.566888
2025-01-12,161.621824,161.559104,161.54264,161.581728,161.604128,161.572992,161.62664,161.68544,161.663992,161.660688,161.641368,161.574616,141.38124,160.36972,161.669984,161.692328,173.848192,224.598752,179.507272,168.17612,161.695352,161.700168,161.682248,161.699552
2025-01-13,161.607488,161.552272,161.593096,161.634704,161.588112,161.65044,193.3092,205.761584,197.84156,161.634256,161.62104,161.622384,161.606536,161.588056,161.573272,161.55608,197.051792,272.362944,264.754336,221.386536,217.590576,200.259752,181.974632,161.56868
2025-01-14,161.611408,161.633248,161.569464,161.547736,161.524272,161.515648,161.570416,161.578704,161.565208,161.566608,161.75376,161.704032,161.729456,161.778064,161.731248,161.707504,161.643048,161.661248,161.632408,161.541016,161.525504,161.666344,161.638568,161.651952
2025-01-15,161.249592,149.57208,161.603064,161.576632,161.638288,161.597408,161.612472,161.685216,161.629328,161.673344,161.672672,161.652848,161.648648,161.679,161.670264,139.286336,120.019984,161.55188,161.61124,161.610624,161.68096,161.636888,161.704984,161.680008
2025-01-16,161.674296,161.647416,161.589792,161.570528,161.595392,161.657272,161.764008,161.714168,161.72072,161.61964,161.70084,161.685832,148.277864,161.537376,161.619528,161.599256,161.60704,200.406752,162.403304,161.73528,161.702408,161.65072,161.623896,161.601888
2025-01-17,161.594832,161.622832,161.594552,161.60956,161.592088,161.60508,161.623224,161.545328,162.355592,162.38936,161.756168,161.700056,161.778064,161.680736,131.447456,134.799504,161.651728,161.66024,161.6076,161.533456,161.647584,161.636496,161.641928,161.59472
2025-01-18,161.592872,161.579824,161.563584,161.555352,161.57176,161.565488,161.565544,161.883736,161.652904,161.722736,161.718704,161.721784,161.734608,161.716576,161.692944,161.649152,161.568736,161.592256,161.663544,161.617904,161.605472,161.613984,161.617512,161.605584
2025-01-19,161.628824,161.616056,161.657832,161.690088,161.6524,161.622944,161.614824,161.609,161.631176,161.678272,141.642536,106.960056,107.09888,141.673504,161.777224,161.746984,161.666568,161.73892,162.883392,165.64072,165.328408,161.716632,162.743616,161.773584
2025-01-20,161.759472,161.747208,161.74648,161.789488,161.7826,161.737912,161.699552,161.616728,161.687064,161.70812,161.667408,157.870944,121.48248,155.6128,135.04428,153.378456,161.679616,161.564256,161.761768,161.74732,161.692552,161.661752,161.7854,161.719544
2025-01-21,161.696248,161.7434,161.672616,161.679896,161.688856,161.74144,161.68404,172.986968,161.639744,161.629272,161.740824,141.437744,107.509528,107.624048,107.792048,112.70308,142.304008,161.739368,161.75292,161.705992,161.615328,161.530712,161.68544,161.812728
2025-01-22,161.77588,161.701904,161.681744,161.613032,161.62076,161.661528,161.775992,187.083008,178.469368,161.815192,161.705712,161.924448,161.67788,161.70476,161.635264,161.632184,161.667408,161.695688,161.698376,161.5866,161.75712,161.769328,161.714336,161.66192
2025-01-23,161.623952,161.638736,161.580328,161.594888,161.577696,161.63336,161.64652,161.54964,161.617848,161.615776,161.706944,161.784392,161.78904,161.729008,161.74312,161.724808,173.14696,187.004888,187.701808,187.741512,187.731656,187.66132,187.772872,187.732216
2025-01-24,187.735744,165.933096,161.677712,161.706944,161.730576,161.736344,161.797048,161.709184,161.679448,161.684376,161.649824,161.459368,150.844344,154.681856,136.191384,161.840056,161.723688,161.81368,161.77784,161.78064,161.73332,161.720104,161.667912,161.61012
2025-01-25,161.622552,161.6608,161.690088,161.70812,161.680736,161.751408,161.745864,161.696808,161.624904,135.156168,108.705128,108.626672,108.60752,108.589656,113.80908,150.497312,150.334968,158.543056,161.685216,161.555632,161.721616,161.735336,161.750736,161.725088
2025-01-26,161.730688,161.653744,161.629048,161.637784,161.67368,161.675752,166.185376,183.460928,169.3356,161.95284,164.411128,161.685496,161.677768,161.63364,161.602392,161.623504,161.631456,161.819,161.726992,161.625464,161.69748,161.663488,161.804216,161.724136
2025-01-27,161.711872,161.7602,161.616336,161.677376,161.679224,161.63308,161.626416,161.59472,161.694904,160.324248,153.647368,161.605304,112.516544,107.918776,120.07772,145.072592,161.528808,161.772184,161.743568,161.719432,161.789152,161.635376,161.721448,161.701512
2025-01-28,161.6776,161.691152,161.6706,161.686896,161.668248,161.6846,161.689528,161.598696,161.737016,161.70196,161.640528,161.604632,161.641592,141.399496,156.320192,161.761768,161.692608,161.634536,161.654752,161.730016,161.674296,161.730576,161.690088,161.766976
2025-01-29,161.658392,161.662984,161.722512,161.752864,161.708456,152.29648,159.634832,161.683984,161.788088,161.79436,131.350632,108.940272,108.856216,108.834152,108.777928,108.760064,108.745952,143.094056,161.811832,161.65968,161.739592,161.7182,161.72772,161.685944
2025-01-30,161.606704,161.570304,161.600096,161.615888,161.613312,161.575792,161.58716,161.612136,161.611688,161.77532,143.913,108.646832,108.382344,108.362744,128.131528,161.640864,161.707056,161.757344,163.07648,162.007272,161.731864,161.615328,161.693504,161.662368
2025-01-31,161.652848,161.58996,161.600768,161.623728,161.6328,161.64456,161.666512,161.74452,161.668808,161.593936,161.7896,150.065664,161.535584,161.593656,161.7084,169.959272,174.936664,161.86912,161.766416,161.748664,161.67256,161.693224,161.76244,161.817264
2025-02-01,161.80192,161.733264,161.751744,161.71232,161.696416,161.602896,161.597184,161.56336,161.72772,161.682864,161.672616,162.335376,161.784728,161.730128,161.642712,161.630896,161.642152,161.642768,161.615832,161.683816,161.66136,161.794136,164.717896,163.016448
2025-02-02,161.840952,161.795928,161.736848,161.715736,161.707504,161.707112,161.726488,161.608552,161.821296,161.68208,161.690424,131.621,105.000784,102.923632,106.22752,108.217424,159.133296,168.18228,163.674616,161.671216,161.805504,161.805896,161.869904,161.751912
2025-02-03,161.762104,161.792904,161.769832,161.73612,161.675528,161.694344,161.653408,161.692832,161.650888,161.788536,140.37744,108.062696,107.470272,107.330776,140.528808,172.397568,196.0392,204.548232,204.618344,204.67384,204.915144,204.96364,203.949032,214.416776
2025-02-04,192.377024,162.81496,162.69652,162.682744,162.579368,162.834336,162.720656,162.869056,163.038064,166.4474,162.876616,162.828288,162.871688,162.873368,145.470136,118.352976,161.592256,162.836576,162.848056,162.763496,162.892184,163.105936,163.035768,163.07956
2025-02-05,163.010568,162.966832,163.001216,162.994888,162.9628,162.978648,162.996344,162.91632,163.234456,163.194696,163.138752,163.0902,163.01208,162.971312,162.958544,163.011408,163.056208,163.092888,163.090256,162.962016,163.194808,163.19716,163.13892,163.09972
2025-02-06,163.109128,163.123576,163.182824,163.162608,163.095912,163.12296,163.122792,171.665872,171.420536,173.722248,163.135224,163.058056,162.980664,162.960056,162.943536,162.943312,162.94124,162.950536,162.94796,162.869448,163.079224,163.117304,163.018856,163.033752
2025-02-07,162.95552,162.987552,162.944544,162.954904,162.931608,162.932672,162.9754,163.077432,163.033304,163.15796,163.079448,162.997016,163.026976,163.000152,162.953056,162.921808,171.268776,188.633928,163.185624,162.99304,162.970864,163.022944,163.029608,163.010512
2025-02-08,162.97092,162.948744,162.946448,162.920016,162.879976,162.922368,162.869168,163.090816,163.125704,163.05716,163.09748,163.042712,163.049656,162.99836,162.988168,163.013088,162.97064,162.955016,162.94712,162.88664,163.059176,163.10168,163.05492,163.020144
2025-02-09,162.988952,163.144856,163.147376,163.089696,163.065168,162.962408,162.97876,162.989232,163.234288,163.201416,163.155328,163.038344,163.04316,162.948968,162.804936,162.985928,162.804264,164.151288,175.607992,180.287184,187.035688,180.179384,171.766224,163.536744
2025-02-10,162.705256,162.582504,162.673112,162.59516,162.44732,162.497104,162.541792,162.450176,162.769712,162.852312,162.86704,162.642704,162.647072,161.838824,111.473488,140.135912,188.304928,205.65048,205.186352,189.334712,161.71428,161.931784,162.213128,161.829864
2025-02-11,161.796208,161.731696,161.734272,173.826408,164.704792,167.761888,208.4768,233.92432,182.893816,161.738416,161.639352,146.769784,106.580544,106.113392,106.14184,147.710752,161.791,161.821296,161.799904,161.820512,161.848288,161.695072,161.722736,161.758408
2025-02-12,161.748552,161.717472,161.658336,161.668864,161.643328,161.630728,161.648536,161.672616,161.572544,161.748608,161.775768,164.351824,161.740936,161.68292,161.680288,159.711888,139.973288,161.533344,161.782656,161.769832,161.6818,161.650776,161.692384,161.735448
2025-02-13,161.765352,161.70896,161.646968,161.688352,161.668136,161.690256,161.6664,169.75252,164.753064,150.7212,106.7682,109.915232,126.937944,132.808536,133.505456,120.17152,152.91108,162.005704,162.002512,161.833112,161.719096,161.674464,161.658336,161.733208
2025-02-14,161.699944,161.669816,161.636944,161.636104,161.609616,161.673288,161.73024,161.843752,161.75488,161.829864,175.190792,155.056664,131.622848,128.407552,158.268936,163.986816,161.904176,161.777952,161.738248,161.665952,161.814464,161.792792,161.792008,161.773528
2025-02-15,161.778568,161.740096,161.716296,161.69104,161.665,161.628656,161.633248,161.654304,161.649376,161.70868,161.678552,161.609504,161.6314,161.626136,161.630392,161.65492,161.61796,161.622552,161.7266,161.811888,168.03416,184.637488,187.69492,188.782832
2025-02-16,166.551056,161.647248,161.638736,161.663712,161.64232,161.624848,161.667912,161.62468,161.572096,155.558088,134.100064,107.649584,107.62528,104.20592,106.550864,107.74904,108.802792,144.11656,161.855232,161.854784,161.778512,161.75404,161.707896,161.660408
2025-02-17,161.685496,155.164464,107.288328,107.52336,109.664744,134.34596,161.777,161.756728,154.992712,109.050816,122.897152,134.114232,133.441112,133.437808,133.747432,118.277376,143.657696,161.836584,161.76216,161.658392,161.78204,161.719096,161.73808,161.763056
2025-02-18,161.740208,161.69272,161.696808,161.374976,141.267056,122.729208,158.48952,161.644672,161.75992,161.717416,146.68584,104.969088,105.052696,105.802368,106.40308,106.433208,106.421616,138.522384,161.727496,161.68152,161.715736,161.787864,161.787864,161.737744
2025-02-19,161.747376,161.72492,161.721616,161.711032,161.705208,161.688184,161.69776,161.642992,161.756504,161.708512,145.048568,107.824472,107.67764,107.427712,107.444736,107.678144,112.249984,161.53312,161.72716,161.74004,161.664776,161.8008,161.71036,161.716016
