거래일,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-01-01,19.39133,19.968293,18.746542,16.054895,15.417698,8.718399,10.261018,9.7848,7.487359,2.30742,1.083274,1.203698,4.484078,7.706611,8.327349,4.657855,5.536216,5.075001,2.195009,0.865668,0.460223,0.463863,3.242352,2.720487
2025-01-02,0.710176,1.116744,1.578745,2.232448,5.30338,8.187496,9.876728,11.559104,6.211156,8.930272,7.314204,5.902256,3.626552,3.668324,10.983228,14.959348,18.800537,29.993679,37.66454,44.799157,44.102255,47.351607,45.564777,33.956789
2025-01-03,30.77962,43.791263,49.880945,61.177259,66.080871,55.382148,68.309498,79.002773,79.019792,65.702821,48.772185,38.350538,42.912134,34.162339,29.732476,35.096134,35.321679,40.772658,39.227753,30.473066,25.441883,21.531816,20.052829,17.458587
2025-01-04,20.217472,17.924048,23.912167,23.572274,29.16867,25.757504,24.453651,21.364679,21.11916,12.856153,4.363649,7.599013,11.823855,3.435939,3.050975,2.85385,1.657558,1.334209,1.497147,1.910821,0.099384,0.022815,0.030543,0
2025-01-05,0.006721,0.00414,0,1.368588,2.611697,1.007681,4.575918,11.359004,17.908684,30.264956,17.254155,13.884818,22.466188,30.941972,26.715936,13.622208,7.811502,9.245513,11.1613,25.462563,12.876872,12.242388,28.047045,21.472514
2025-01-06,34.324998,41.701415,50.811167,54.711921,66.20159,75.601196,57.559738,71.796679,82.204739,84.731477,84.154736,81.494216,89.385875,95.605922,94.759552,89.737481,90.75936,93.319185,95.352036,96.706329,91.46676,90.108263,94.599352,94.584816
2025-01-07,90.992986,78.930194,82.263932,87.325425,95.04492,88.893319,89.206299,92.623318,90.675799,88.057006,78.579704,76.422515,69.497153,78.522051,92.626781,96.153791,93.891505,82.798162,78.368063,87.252532,85.90159,79.466382,79.340091,81.639007
2025-01-08,80.929417,74.715633,78.58538,78.887436,71.717558,63.681746,51.503403,36.75696,22.491052,14.280453,3.294559,3.998821,10.235404,9.363813,5.175016,24.822914,51.257544,50.18655,63.980528,62.526383,74.596213,90.976733,90.130925,85.09738
2025-01-09,85.47931,87.711687,89.690846,90.12732,85.614802,83.931968,84.452063,86.931286,79.110045,81.859875,75.395306,84.884873,88.62285,88.507078,76.590974,82.263364,85.826412,84.968812,84.95874,83.521852,81.32056,80.892772,86.507492,86.28482
2025-01-10,87.913596,87.960492,82.578796,80.611156,81.820324,71.713052,77.700769,65.405114,53.503117,66.783859,59.437658,47.325689,43.531115,50.418007,51.307436,55.946362,53.365929,50.771285,62.563348,60.706795,63.660319,60.129871,63.435437,71.710314
