latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.497364,126.53465,63.0,32400,Asia/Seoul,GMT+9

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2025-01-01T00:00,3.4,81,6.0,0.0
2025-01-01T01:00,2.6,82,5.0,0.0
2025-01-01T02:00,2.5,82,3.7,0.0
2025-01-01T03:00,2.5,83,3.2,0.0
2025-01-01T04:00,2.6,83,2.0,0.0
2025-01-01T05:00,2.7,82,1.4,0.0
2025-01-01T06:00,2.6,81,1.6,0.0
2025-01-01T07:00,2.7,81,1.5,0.0
2025-01-01T08:00,3.2,80,1.6,4.0
2025-01-01T09:00,6.0,72,4.2,95.0
2025-01-01T10:00,7.8,71,7.0,161.0
2025-01-01T11:00,8.3,67,7.3,287.0
2025-01-01T12:00,8.8,64,7.9,394.0
2025-01-01T13:00,9.1,61,9.3,472.0
2025-01-01T14:00,9.2,58,10.0,473.0
2025-01-01T15:00,9.0,58,11.5,441.0
2025-01-01T16:00,8.5,61,10.2,310.0
2025-01-01T17:00,7.6,65,7.0,144.0
2025-01-01T18:00,5.1,78,3.5,15.0
2025-01-01T19:00,5.1,76,1.7,0.0
2025-01-01T20:00,5.0,75,1.3,0.0
2025-01-01T21:00,4.7,76,0.9,0.0
2025-01-01T22:00,5.6,75,1.3,0.0
2025-01-01T23:00,6.1,73,1.1,0.0
2025-01-02T00:00,6.3,73,1.5,0.0
2025-01-02T01:00,6.3,73,1.4,0.0
2025-01-02T02:00,6.2,72,1.0,0.0
2025-01-02T03:00,5.8,74,2.4,0.0
2025-01-02T04:00,5.0,76,4.5,0.0
2025-01-02T05:00,5.5,74,6.3,0.0
2025-01-02T06:00,7.4,69,9.2,0.0
2025-01-02T07:00,7.6,70,7.7,0.0
2025-01-02T08:00,7.1,73,6.4,3.0
2025-01-02T09:00,8.2,73,7.2,67.0
2025-01-02T10:00,9.4,61,7.6,188.0
2025-01-02T11:00,9.7,62,8.5,271.0
2025-01-02T12:00,9.9,62,8.6,371.0
2025-01-02T13:00,10.0,62,9.8,439.0
2025-01-02T14:00,10.0,62,11.5,460.0
2025-01-02T15:00,9.3,67,12.3,344.0
2025-01-02T16:00,8.8,70,11.1,222.0
2025-01-02T17:00,8.3,72,12.2,110.0
2025-01-02T18:00,7.3,79,10.6,13.0
2025-01-02T19:00,6.9,81,10.2,0.0
2025-01-02T20:00,6.7,72,10.9,0.0
2025-01-02T21:00,6.0,69,10.1,0.0
2025-01-02T22:00,6.4,63,14.1,0.0
2025-01-02T23:00,6.0,67,13.3,0.0
2025-01-03T00:00,5.7,69,12.5,0.0
2025-01-03T01:00,5.3,69,11.9,0.0
2025-01-03T02:00,5.2,69,13.0,0.0
2025-01-03T03:00,5.0,70,14.6,0.0
2025-01-03T04:00,4.9,69,15.9,0.0
2025-01-03T05:00,4.9,67,16.0,0.0
2025-01-03T06:00,5.9,60,19.7,0.0
2025-01-03T07:00,6.4,59,21.8,0.0
2025-01-03T08:00,6.0,61,20.9,2.0
2025-01-03T09:00,6.1,60,21.1,53.0
2025-01-03T10:00,6.0,57,19.7,191.0
2025-01-03T11:00,6.0,57,19.4,346.0
2025-01-03T12:00,6.2,55,18.9,406.0
2025-01-03T13:00,6.1,54,19.7,393.0
2025-01-03T14:00,5.8,56,18.7,378.0
2025-01-03T15:00,5.8,54,18.0,396.0
2025-01-03T16:00,5.5,55,17.2,243.0
2025-01-03T17:00,5.0,60,16.4,104.0
2025-01-03T18:00,4.4,66,14.2,11.0
2025-01-03T19:00,4.0,68,13.8,0.0
2025-01-03T20:00,3.9,66,11.0,0.0
2025-01-03T21:00,4.1,62,8.6,0.0
2025-01-03T22:00,5.1,52,14.4,0.0
2025-01-03T23:00,4.9,57,11.4,0.0
2025-01-04T00:00,5.1,61,13.9,0.0
2025-01-04T01:00,5.3,62,13.6,0.0
2025-01-04T02:00,5.6,62,13.4,0.0
2025-01-04T03:00,5.9,60,14.3,0.0
2025-01-04T04:00,5.8,61,14.8,0.0
2025-01-04T05:00,5.7,62,14.1,0.0
2025-01-04T06:00,5.7,62,13.7,0.0
2025-01-04T07:00,5.4,65,12.9,0.0
2025-01-04T08:00,5.2,66,11.2,2.0
2025-01-04T09:00,6.1,58,10.8,73.0
2025-01-04T10:00,6.6,63,13.9,145.0
2025-01-04T11:00,6.6,65,11.1,160.0
2025-01-04T12:00,6.9,63,10.4,238.0
2025-01-04T13:00,7.2,60,10.7,304.0
2025-01-04T14:00,7.7,55,10.9,404.0
2025-01-04T15:00,7.7,52,10.7,376.0
2025-01-04T16:00,7.4,52,9.6,297.0
2025-01-04T17:00,6.5,57,7.6,151.0
2025-01-04T18:00,3.9,74,3.7,17.0
2025-01-04T19:00,3.1,76,4.1,0.0
2025-01-04T20:00,2.7,76,2.7,0.0
2025-01-04T21:00,2.7,65,2.4,0.0
2025-01-04T22:00,4.2,67,5.0,0.0
2025-01-04T23:00,4.5,62,5.8,0.0
2025-01-05T00:00,5.0,61,7.2,0.0
2025-01-05T01:00,5.6,63,6.4,0.0
2025-01-05T02:00,5.3,66,5.6,0.0
2025-01-05T03:00,5.0,68,5.3,0.0
2025-01-05T04:00,5.5,67,7.1,0.0
2025-01-05T05:00,5.8,65,8.1,0.0
2025-01-05T06:00,6.1,62,8.7,0.0
2025-01-05T07:00,6.3,65,9.2,0.0
2025-01-05T08:00,6.9,68,7.1,1.0
2025-01-05T09:00,7.9,75,11.3,38.0
2025-01-05T10:00,7.1,91,11.0,53.0
2025-01-05T11:00,7.8,90,9.3,96.0
2025-01-05T12:00,9.7,76,8.1,180.0
2025-01-05T13:00,10.2,74,12.0,198.0
2025-01-05T14:00,9.7,80,13.0,110.0
2025-01-05T15:00,9.5,83,13.7,106.0
2025-01-05T16:00,9.4,86,12.3,68.0
2025-01-05T17:00,8.5,91,14.7,36.0
2025-01-05T18:00,8.1,91,15.6,5.0
2025-01-05T19:00,8.2,90,17.2,0.0
2025-01-05T20:00,8.4,89,16.1,0.0
2025-01-05T21:00,7.9,88,17.2,0.0
2025-01-05T22:00,9.1,86,15.8,0.0
2025-01-05T23:00,8.4,90,15.2,0.0
2025-01-06T00:00,9.2,86,16.1,0.0
2025-01-06T01:00,9.1,83,15.6,0.0
2025-01-06T02:00,9.1,80,16.1,0.0
2025-01-06T03:00,9.2,78,17.7,0.0
2025-01-06T04:00,9.6,71,19.4,0.0
2025-01-06T05:00,9.7,65,20.8,0.0
2025-01-06T06:00,9.1,72,19.4,0.0
2025-01-06T07:00,8.9,76,18.4,0.0
2025-01-06T08:00,7.8,81,20.6,3.0
2025-01-06T09:00,8.9,75,19.2,63.0
2025-01-06T10:00,9.6,60,26.4,204.0
2025-01-06T11:00,8.5,69,28.7,299.0
2025-01-06T12:00,8.2,71,28.5,387.0
2025-01-06T13:00,8.0,65,30.1,388.0
2025-01-06T14:00,7.8,58,34.5,382.0
2025-01-06T15:00,7.2,58,36.3,352.0
2025-01-06T16:00,6.5,60,35.3,239.0
2025-01-06T17:00,5.9,66,34.1,120.0
2025-01-06T18:00,5.5,65,34.0,16.0
2025-01-06T19:00,5.1,69,32.5,0.0
2025-01-06T20:00,4.8,71,32.0,0.0
2025-01-06T21:00,4.8,68,32.5,0.0
2025-01-06T22:00,4.5,68,31.4,0.0
2025-01-06T23:00,4.2,80,28.9,0.0
2025-01-07T00:00,4.4,73,32.2,0.0
2025-01-07T01:00,4.2,70,30.0,0.0
2025-01-07T02:00,4.0,69,28.4,0.0
2025-01-07T03:00,3.8,71,27.0,0.0
2025-01-07T04:00,3.5,73,28.3,0.0
2025-01-07T05:00,3.8,72,30.2,0.0
2025-01-07T06:00,3.8,67,29.3,0.0
2025-01-07T07:00,3.4,80,26.6,0.0
2025-01-07T08:00,3.4,82,23.0,3.0
2025-01-07T09:00,3.0,83,23.9,76.0
2025-01-07T10:00,4.8,57,26.9,218.0
2025-01-07T11:00,5.3,51,26.9,341.0
2025-01-07T12:00,5.3,47,30.4,396.0
2025-01-07T13:00,5.5,62,31.3,396.0
2025-01-07T14:00,5.8,64,30.6,389.0
2025-01-07T15:00,5.7,63,32.8,352.0
2025-01-07T16:00,5.8,56,35.0,279.0
2025-01-07T17:00,5.7,57,32.8,121.0
2025-01-07T18:00,5.7,61,31.2,12.0
2025-01-07T19:00,5.8,56,28.9,0.0
2025-01-07T20:00,6.0,54,26.7,0.0
2025-01-07T21:00,6.0,56,25.5,0.0
2025-01-07T22:00,6.3,53,27.1,0.0
2025-01-07T23:00,6.2,54,27.7,0.0
2025-01-08T00:00,6.4,51,27.4,0.0
2025-01-08T01:00,6.4,48,28.4,0.0
2025-01-08T02:00,6.6,52,28.8,0.0
2025-01-08T03:00,6.7,53,28.4,0.0
2025-01-08T04:00,6.8,53,28.3,0.0
2025-01-08T05:00,6.3,57,23.7,0.0
2025-01-08T06:00,5.7,61,21.2,0.0
2025-01-08T07:00,5.5,66,18.7,0.0
2025-01-08T08:00,5.1,71,14.7,1.0
2025-01-08T09:00,5.3,76,12.5,40.0
2025-01-08T10:00,6.3,64,20.7,112.0
2025-01-08T11:00,6.6,68,18.0,169.0
2025-01-08T12:00,7.4,62,15.3,344.0
2025-01-08T13:00,7.9,59,20.7,404.0
2025-01-08T14:00,7.0,65,20.8,358.0
2025-01-08T15:00,5.8,79,20.9,255.0
2025-01-08T16:00,6.7,74,19.3,201.0
2025-01-08T17:00,6.2,77,22.2,68.0
2025-01-08T18:00,5.5,79,23.4,11.0
2025-01-08T19:00,5.7,82,20.2,0.0
2025-01-08T20:00,4.8,82,22.8,0.0
2025-01-08T21:00,4.3,84,20.3,0.0
2025-01-08T22:00,4.0,88,20.0,0.0
2025-01-08T23:00,3.9,89,21.9,0.0
