날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2023-09-01,676.8,636.8,608,588.1,584.3,596.4,626.8,703.7,778.7,820.2,871.4,878.3,872,899,899.6,886.4,878.8,888.3,881.7,897.3,880.4,836.7,796.9,757.2
2023-09-02,704.3,661.5,632.1,606.1,599.3,609.8,626.3,654.2,714.1,751.5,768.2,796.1,796.7,784.7,800.7,810.5,847.4,893.4,907.3,913.7,890.9,844.8,798.9,754.8
2023-09-03,704.9,659.9,630.4,611.2,600.1,610.8,627.3,655.5,691.6,737.9,763,778.4,795.7,807.3,821.6,843.4,879.2,914.1,932.7,936.1,905.5,854,800.8,750.3
2023-09-04,690.8,644.8,619.2,601.1,593.2,611,649.5,719.8,804.4,859.1,882.7,887.1,888,914.2,919.9,928.7,955.4,983.1,981.2,975.9,938.1,879.8,826.8,773.9
2023-09-05,711.8,666.9,637.3,617.4,613,625.9,662.1,740.3,798.3,843.3,856.5,848.4,868.2,871.9,871.1,884,912.4,947.2,940.3,931.4,891.8,840.7,794.7,747.7
2023-09-06,687,648.1,619.4,599.8,595.7,613.7,651.2,710.3,773.8,816.2,835.8,840.7,836.4,859.8,873.3,890.5,923.3,957.3,962.2,961.9,926,870.2,817.4,761.2
2023-09-07,702.1,663.6,632.2,611.2,607,617.3,650.7,708.4,762.4,803.2,815.2,812.9,804.6,818.8,823.6,832.2,864.7,899.5,903.9,907.8,874,827.1,782.2,736.3
2023-09-08,684.4,644.5,616.3,595.6,591.2,601.8,635.1,684.3,737.9,770.3,781.7,779.7,771,790.6,804,822.9,850.5,876.3,879.6,880.1,842.8,795.6,754.2,718.5
2023-09-09,662.5,622.3,596.6,578.4,573.2,586.6,607,628.6,661.6,698.6,719.9,727,724.8,737.4,747.2,759.1,791.8,831.7,851.3,854.1,821.2,776,733.4,695.3
2023-09-10,645.5,607.9,583.1,566.4,563.3,576.9,591,608.7,623.4,662.7,694.7,712,721.7,720.8,722.8,741.4,781.8,815.1,838.7,849.8,820.5,771.3,729.7,687.4
2023-09-11,637.3,600.2,577.9,564.6,560.5,575.7,610.2,660.9,727.2,780.8,803.8,807.3,802.4,839.1,850.2,867.9,894.1,913,913.5,916.8,881.3,823.4,765.1,727.3
2023-09-12,672.2,630.1,602.7,585.2,582,594.6,628.5,685.9,755.3,811.6,854.2,873.9,869.5,882.2,901.4,902.9,902.1,914.2,926.3,931.4,892.6,837.7,788.8,743.2
2023-09-13,684.3,641.3,612,593.6,591.3,606,640.2,699.1,783.4,825.6,855.4,863.2,871.3,880.5,892.9,930.8,942.4,947.8,956.2,957.6,920.5,863.4,810.3,761.8
2023-09-14,701.1,654.9,623.3,602.4,598.7,614.2,647.7,718.3,798.5,863.8,884.1,876.7,864.7,861.3,861.9,839.2,859.4,870.5,875.1,878.8,854.9,813.8,776.2,735.7
2023-09-15,682.1,642.1,612.5,594.9,592.4,608,643.6,705.4,782.1,837.6,864.5,865.5,862.8,884.7,903,911.1,941.4,970.1,973.8,970.9,938.1,884.1,831.8,786.6
2023-09-16,725.1,678.9,643.2,622.8,615.8,627.1,645.4,683.1,745.5,795.3,826,836.6,885,868.5,830,795.6,825.2,868.6,889.7,895.8,868,825.6,781.7,743.5
2023-09-17,691.4,650,618.3,599.5,593.1,602.7,618.1,644.3,700.6,733,752.2,758,770.1,769.1,781.6,801.3,814,837.9,863.4,865.9,836.4,790.1,752,711.9
2023-09-18,657,618,590.5,576,573.3,591,624.5,681.2,764.2,819.5,833.7,837.3,826.5,847,860.5,876.8,895.1,915,918,913.6,877.2,822.1,775.3,725.2
2023-09-19,665.4,626.8,598.1,580.1,576.8,591.6,626.1,677,734,781.1,817.3,806.4,810.5,853.5,870,849.1,870.3,897.4,907.8,906,869.1,812.6,765.7,721
2023-09-20,666,628.5,600.7,586.5,582.1,595.3,631.6,696.4,780.6,836.8,857.3,873.2,871.5,908.2,918,923.5,924.1,937.3,950.8,955.8,925.3,867,797.9,744.4
2023-09-21,683.2,638.4,608,588.2,583.3,597.7,626.4,676.9,720.3,738.7,744,731.5,747.8,782.3,774,788,801.4,823.6,828.1,826.6,803.5,758,725.8,688.2
2023-09-22,636.7,602.1,576.4,557.3,554.3,570.3,603.9,663.2,731.4,768,765.6,754.4,740.8,789.5,786.8,781,783.3,798.9,813.6,813.2,791.2,754.8,724.5,685.8
2023-09-23,634.4,596.4,571.7,555.9,550.1,561.8,582.6,601.3,615.9,648.6,652,659.9,692.1,691,682,699.3,718.1,737.2,760.1,764.4,740.9,708.2,682,655.9
2023-09-24,610.2,577.1,552.9,540,536.4,547.9,569.8,588.4,613.4,614.4,618.3,628.1,621.4,629,664.9,673.3,706.2,731.5,760.4,769.1,744.3,712.7,682.9,645.9
